|1identity|2g-mod|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11whenever you install a virus program, the corp trashes the top card of r&d.|12|13noise: hacker extraordinaire|

|1program|2icebreaker, killer|3anarch|4&^^^|5&^|6|7|8&^|9|10|11whenever this program fully breaks a piece of ice, place &^ power counter on this program.\this program gets +&^ strength for each power counter on it.\{C}^^: break &^ sentry subroutine.|12&^^^|13sūnya|

|1hardware|2|3criminal|4&^^^|5|6|7|8|9|10|11{C}X,{T}: prevent x damage from a card currently being accessed.|12&^|13recon drone|

|1program|2virus|3criminal|4&^^|5|6|7|8&^|9|10|11install only if you made a successful run on a central server this turn.\when your turn begins, gain {C}^ for every {C}^^^^^ in the corp's credit pool.\trash @ if the corp purges virus counters.|12&|13tapwrm|

|1program|2|3criminal|4&^^|5|6|7|8&^^|9|10|11when your turn begins, choose a server.\{O}, {C}^^: run the server you chose this turn. the first time a subroutine would resolve during this run, prevent it from resolving.|12&|13tracker|

|1resource|2connection|3criminal|4&^^|5|6true|7|8|9|10|11whenever an agenda is scored or stolen, place &^^ power counters on @.\hosted power counter: remove &^ tag and draw &^ card.|12&^^|13aaron marrón|

|1event|2|3shaper|4&^^^^|5|6|7|8|9|10|11play only if you made a successful run on r&d, hq, and archives this turn.\take an additional turn after this one. remove @ from the game instead of trashing it.|12&|13encore|

|1program|2icebreaker, killer|3shaper|4&^^|5&^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}X: +x strength for the remainder of this run. use this ability only by spending at least &^ credit from a stealth card.|12&^^^^^|13fawkes|

|1event|2priority|3neutral|4&^|5|6|7|8|9|10|11play only as your first {O} and only if the corp scored no agendas during his or her last turn.\gain {C}. the corp gains {C}^^^^^. you cannot initiate any runs this turn.|12&^|13peace in our time|

|1event|2run|3anarch|4&^^|5|6|7|8|9|10|11make a run. if you have &^^ or fewer cards in your grip, each installed icebreaker has +&^^ strength until the end of the run.|12&^^^|13pushing the envelope|

|1hardware|2console|3anarch|4&^^^|5|6true|7|8|9|10|11+{M}^^\the first time each turn you access a card not in archives and do not steal or trash it, the corp must trash &^ card from hq at random.\limit &^ console per player.|12&^^^^^^|13maw|

|1resource|2connection|3anarch|4&^^^^|5|6true|7|8|9|10|11+{L}^\whenever the corp scores an initiative or security agenda, force the corp to "{#}^ if unsuccessful, take &^ bad publicity."|12&^|13the archivist|

|1event|2|3criminal|4&^^|5|6|7|8|9|10|11play only if you made a successful run on r&d, hq, and archives this turn.\derez up to &^^^ pieces of ice.|12&^^|13exploit|

|1event|2|3criminal|4&^^|5|6|7|8|9|10|11expose &^ non-ice card, then make a run.|12&^^|13spot the prey|

|1resource|2virtual|3shaper|4&^^|5|6|7|8|9|10|11{T}: prevent all but &^ net damage.|12&^|13bio-modeled network|

|1resource|2virtual|3shaper|4&^^|5|6|7|8|9|10|11the install cost of each piece of ice that is not installed in the innermost position is increased by &^.|12&^^|13network exchange|

|1event|2run|3neutral|4&|5|6|7|8|9|10|11make a run. when this run ends, add @ to your score area as an agenda worth &^ agenda point if you stole at least &^ agenda during the run; otherwise, suffer &^ meat damage.|12&|13mad dash|

|1hardware|2cybernetic|3anarch|4&^^^^|5|6|7|8|9|10|11{O}: trash &^^ or more cards from your grip. run hq or r&d. whenever you breach that server during this run, access &^ additional card for every &^^ cards you trashed.|12&^^|13severnius stim implant|

|1resource|2clan|3anarch|4&^^^^|5|6|7|8|9|10|11whenever you suffer any amount of damage, place &^ power counter on @.\{T}: trash &^ card from hq at random for each power counter on @.|12&^^^|13clan vengeance|

|1resource|2clan|3anarch|4&^^^|5|6|7|8|9|10|11{O}, {T}: run any server. if successful, instead of breaching the attacked server, pay {C}X if able, where x is equal to the number of tags you have. if you do, choose a number less than or equal to x. access that many cards in and/or in the root of the attacked server. |12&^|13counter surveillance|

|1event|2run|3criminal|4&^|5|6|7|8|9|10|11make a run on r&d. if successful, you may make another run on r&d when this run ends. if the second run is successful, gain {C}^^^^.|12&|13möbius|

|1identity|2g-mod|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time the corp rezzes a piece of ice each turn, gain {C}^^.|12|13los: data hijacker|

|1event|2current|3shaper|4&^|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\the first time each turn you would increase the strength of an icebreaker, for the remainder of the run that icebreaker gains "abilities that increase this program's strength last for the remainder of the run instead ."|12&|13system seizure|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11when you install @ reveal the top &^^^^^ cards of the stack. you may host any number of revealed programs from your stack on it. shuffle your stack.\{O}: install a hosted program, paying all install costs.|12&^^|13customized secretary|

|1event|2|3neutral|4&^|5|6|7|8|9|10|11gain {C}^ and draw &^^ cards.|12&|13build script|

|1program|2icebreaker, fracter|3anarch|4&^^^|5&^^|6|7|8&^|9|10|11whenever you encounter a barrier, for the remainder of that encounter this program gets +&^ strength for each subroutine on that barrier.\{C}^^: break up to &^^ barrier subroutines.|12&^^^^|13berserker|

|1program|2icebreaker, killer|3anarch|4&^^^|5&^|6|7|8&^^|9|10|11{C}^^: break &^ sentry subroutine.\{C}^: +&^ strength.\whenever you pass a sentry after encountering it, you may trash the top card of your stack. if you do, trash &^ card from the top of r&d for each subroutine on that sentry that resolved during that encounter.|12&^^^^^|13persephone|

|1hardware|2|3criminal|4&^^^|5|6true|7|8|9|10|11{O}, {C}X: derez &^ piece of ice with printed rez cost {C}X that was rezzed this turn. use this ability only once per turn.|12&^^^|13rubicon switch|

|1resource|2connection|3criminal|4&^|5|6|7|8|9|10|11whenever you access a card with a trash cost not in archives and do not trash it, you may reveal it and gain {C}^.|12&|13aeneas informant|

|1resource|2virtual|3criminal|4&^^^^|5|6|7|8|9|10|11{O}, remove an installed program from the game: search your stack for a non-virus program, shuffle your stack, then install that program, lowering the install cost by the cost of the program removed from the game.|12&^^^|13rosetta 2.0|

|1hardware|2mod|3shaper|4&^^|5|6|7|8|9|10|11install only on an icebreaker.\host icebreaker gains ai and "lose {O}: break &^ subroutine."|12&^^^^^|13adjusted matrix|

|1hardware|2mod|3shaper|4&^^^|5|6|7|8|9|10|11install @ on a non-ai icebreaker.\host icebreaker gains "{C}^^: +&^^^^ strength."|12&^^|13dedicated processor|

|1program|2icebreaker, decoder|3shaper|4&^^^|5&^^|6|7|8&^|9|10|11the first time each turn you pass a piece of ice after an encounter during which this program fully broke that ice, you may swap it with another installed piece of ice.\{C}^: break &^ code gate subroutine.\{C}^: +&^ strength.|12&^^^^^^|13inversificator|

|1resource|2connection|3neutral|4&|5|6true|7|8|9|10|11when your turn begins, gain {C}^ if you have fewer than {C}^^^^^^.\whenever you have {C}, trash @ and take &^^^ meat damage.|12&|13dadiana chacon|

|1identity|2cyborg|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1050|11the first time you make a successful run on archives each turn, the corp must trash &^ card from hq.|12|13alice merchant: clan agitator|

|1resource|2clan, connection|3anarch|4&^^|5|6true|7|8|9|10|11when you install @, take &^ tag. place &^^^ power counters on @, and &^ additional power counter for each tag you have. when there are no power counters left on @, trash it.\the corp cannot trash @ while there is another resource installed.\hosted power counter: prevent &^ meat damage.|12&|13jarogniew mercs|

|1hardware|2console|3criminal|4&^^|5|6true|7|8|9|10|11+{M}^^\{R}X\use these credits during runs on hq. x is the number of pieces of ice protecting hq.\limit &^ console per player.|12&^^^^^|13māui|

|1resource|2|3criminal|4&^^|5|6|7|8|9|10|11when you install this resource, place X power counters on it.\when your turn ends, if you have no cards in your grip, draw &^ card for each hosted power counter, then trash this resource.|12X|13bug out bag|

|1resource|2connection|3criminal|4&^^^|5|6true|7|8|9|10|11the first time you derez a piece of ice each turn, gain {C}^^.|12&^^|13keros mcintyre|

|1hardware|2console|3shaper|4&^|5|6true|7|8|9|10|11+{M}^^\the first time you initiate a run on a server protected by &^^ or more pieces of ice each turn, draw &^^ cards.\limit &^ console per player.|12&^^^^^|13daredevil|

|1program|2icebreaker, decoder|3shaper|4&^^^|5&^|6|7|8&^^|9|10|11whenever this program fully breaks a piece of ice, the first &^^^ subroutines of the next encounter this run do not resolve.\{C}^^: break &^ code gate subroutine.\{C}^: +&^ strength.|12&^^^^^^^^|13mass-driver|

|1event|2priority|3anarch|4&^|5|6|7|8|9|10|11play only as your first {O}.\draw &^ card for each installed clan resource. gain {C}^ for each tag you have.|12&|13mars for martians|

|1program|2icebreaker, ai, virus|3anarch|4&^^^|5&|6|7|8&^|9|10|11when your turn begins, you may take &^ tag to place &^^ virus counters on this program.\hosted virus counter: break &^ subroutine.\{C}^^: +&^ strength.|12&^^^^|13god of war|

|1event|2run|3criminal|4&^^^|5|6|7|8|9|10|11make a run. when the run ends, derez all ice that was rezzed during this run.|12&^^|13leave no trace|

|1event|2run|3criminal|4&^|5|6|7|8|9|10|11run hq. if successful, when you determine the number of cards in hq you are allowed to access during this run's breach of hq, you may add that many cards from your heap to your grip. if you do, you cannot access any cards in hq during this breach. \when the run ends, remove this event from the game.|12&^^^|13rip deal|

|1program|2icebreaker, killer|3criminal|4&^^^|5&|6|7|8&^|9|10|11{C}^^^^^^: derez the sentry you are encountering.\{C}^: +&^ strength.|12&^^^^^|13flashbang|

|1event|2run|3shaper|4&^|5|6|7|8|9|10|11make a run. if you have &^^^ or fewer programs installed, all icebreakers have +&^^ strength during this run.|12&^^|13lean and mean|

|1program|2icebreaker, ai|3shaper|4&^^^|5&|6|7|8&^^|9|10|11this program gets +&^ strength for each installed program.\{C}^^: break &^ subroutine.|12&^^^^^|13maven|

|1program|2icebreaker, killer|3shaper|4&^|5&^|6|7|8&^|9|10|11during runs, this program gets +&^ strength for each piece of ice protecting the attacked server.\{C}^: break &^ sentry subroutine.\{C}^^^: +&^^ strength.|12&^^^^|13na'not'k|

|1resource|2location, seedy|3neutral|4&|5|6true|7|8|9|10|11when your turn begins, you may remove &^ card in the heap from the game. if you do, gain {C}^^.|12&^^^^|13bloo moose|

|1event|2|3anarch|4&^^|5|6|7|8|9|10|11play only if you made a successful run on a central server this turn.\the corp must pay {C}^^^^^ or take &^ bad publicity. remove @ from the game instead of trashing it.|12&^^|13mining accident|

|1hardware|2cybernetic|3anarch|4&^^^|5|6|7|8|9|10|11when you install this hardware, suffer &^ meat damage.\the first time each turn you have no cards in your grip, draw &^ card and place &^ power counter on this hardware.\when this hardware has &^^^ or more hosted power counters, trash it.|12&|13respirocytes|

|1resource|2clan|3anarch|4&^^^|5|6true|7|8|9|10|11{T}: the corp trashes the top x cards of r&d. x is equal to the amount of damage you have suffered this turn. use this ability only during the next paid ability window after suffering any amount of damage.|12&|13salvaged vanadis armory|

|1program|2icebreaker, ai, virus|3criminal|4&^|5&|6|7|8&^|9|10|11this program gets +&^ strength for each hosted virus counter.\whenever you expose a card, place &^ virus counter on this program.\whenever you finish breaching a server, if you did not steal or trash any accessed cards, place &^ virus counter on this program.\{C}^: break &^ subroutine.|12&^^^|13aumakua|

|1resource|2virtual|3criminal|4&^|5|6|7|8|9|10|11{C}^^^: prevent &^ net or brain damage.|12&^^^|13caldera|

|1event|2run|3shaper|4&^^^^|5|6|7|8|9|10|11make a run. whenever you encounter a piece of ice during this run, you may install a program from your grip, ignoring all costs. when this run ends, trash all programs installed using @.|12&^^^^|13diana's hunt|

|1event|2|3shaper|4&^^^^|5|6|7|8|9|10|11swap &^^ pieces of unrezzed ice.|12&^^^|13reshape|

|1resource|2virtual|3shaper|4&^^|5|6|7|8|9|10|11trash a card from your grip: prevent an installed card of the same type from being trashed by the corp.|12&^|13dummy box|

|1resource|2connection|3neutral|4&|5|6|7|8|9|10|11whenever the corp draws a card with the basic action, reveal that card.|12&|13corporate defector|

|1identity|2g-mod|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time each turn you make a successful run on hq, you may choose &^^ cards in your heap. if you do, the corp removes &^ of those cards from the game, then you add the other card to your grip.|12|13steve cambridge: master grifter|

|1event|2double|3criminal|4&^^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\derez a piece of ice that has a rez cost of X or lower.|12X|13brute-force-hack|

|1event|2run|3criminal|4&^^^|5|6|7|8|9|10|11make a run. when you encounter the innermost piece of ice protecting that server, bypass it.|12&^^|13spear phishing|

|1event|2double|3criminal|4&^^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\the corp must either discard &^^ cards or draw &^^^^ cards.|12&^^|13syn attack|

|1hardware|2console|3criminal|4&^^^^|5|6true|7|8|9|10|11+{M}^, +{L}^\the first time each turn you pass all of the ice protecting hq, you may draw &^ card to force the corp to draw &^ card.\limit &^ console per player.|12&^^^^|13polyhistor|

|1program|2icebreaker, decoder|3criminal|4&^^|5&^^|6|7|8&^|9|10|11{C}^: break &^ code gate subroutine.\{C}^^: +&^^ strength.\{T}: bypass the code gate you are encountering.|12&^^^^|13abagnale|

|1program|2icebreaker, killer|3criminal|4&^^^|5&^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^^: +&^^^^^ strength.\{T}: bypass the sentry you are encountering.|12&^^^^^|13lustig|

|1program|2icebreaker, fracter|3criminal|4&^^|5&^|6|7|8&^|9|10|11{C}^^: break up to &^^ barrier subroutines.\{C}^^: +&^^^ strength.\{T}: bypass the barrier you are encountering.|12&^^^^|13demara|

|1program|2icebreaker, ai|3criminal|4&^^|5&|6|7|8&^|9|10|11hosted power counter: break &^ subroutine.\{C}^^: +&^^ strength.\when your turn begins, you may pay {C}X to place x power counters on this program.\when your turn ends, remove all hosted power counters.|12&^^^|13mammon|

|1resource|2virtual|3criminal|4&^^^^|5|6|7|8|9|10|11{O}{O}: run any server. the first time you approach a rezzed piece of ice during this run, you may pay credits equal to the strength of that ice. if you do, when you encounter that ice after this approach, bypass it.|12&^^^^^|13charlatan|

|1resource|2connection|3criminal|4&^|5|6true|7|8|9|10|11+{L}^\{T}: derez a piece of ice protecting a remote server. use this ability only during the next paid ability window after a successful run on hq ends..|12&^|13maxwell james|

|1identity|2natural|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11before drawing your starting hand, set aside the top &^^^^^^ cards of your stack facedown.  shuffle &^^ of those cards into your stack.\{O}: add &^ card set aside with this identity to your grip.|12|13ayla "bios" rahim: simulant specialist|

|1event|2priority|3shaper|4&^^^^|5|6|7|8|9|10|11play only as your first {O}.\choose &^ card installed in the root of or protecting a remote server. that card cannot be rezzed this turn.|12&^^^|13careful planning|

|1event|2run|3shaper|4&^^^^|5|6|7|8|9|10|11run r&d. if successful, access x additional cards when you breach r&d. x is equal to your unused mu or &^^^^, whichever is less.|12&^^^|13deep data mining|

|1hardware|2mod|3shaper|4&^|5|6|7|8|9|10|11+{M}^, +{L}^\your maximum hand size is increased by &^.|12&^^^^|13llds memory diamond|

|1hardware|2console|3shaper|4&^^^|5|6true|7|8|9|10|11+{M}^\when your turn begins, draw &^ card.\limit &^ console per player.|12&^^^^^|13ubax|

|1program|2icebreaker, fracter, killer|3shaper|4&^^^|5&^^|6|7|8&^^|9|10|11this program gets +&^ strength for each unused mu.\{C}^^: break &^ sentry or barrier subroutine.|12&^^^^^|13adept|

|1program|2icebreaker, killer, decoder|3shaper|4&^^^|5&^|6|7|8&^^|9|10|11this program gets +&^ strength for each unused mu.\{C}^^: break &^ sentry or &^^ code gate subroutines.|12&^^^^|13savant|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11install only on a rezzed piece of ice.\host ice gains barrier, code gate, and sentry.|12&^^|13egret|

|1program|2daemon|3shaper|4&^^|5|6|7|8&|9|10|11you can install other programs onto this program. each program installed this way costs {C}^ less to install. limit &^ hosted program.\the memory cost of the hosted program does not count against your memory limit.|12&^^|13dhegdheer|

|1resource|2location, ritzy|3shaper|4&^^|5|6|7|8|9|10|11{O}: reveal the top &^^^^ cards of your stack. if any of those cards are programs, you may add &^ to your grip. add the rest of the cards to the bottom of your stack in any order.|12&^^^^|13levy advanced research lab|

|1resource|2location, ritzy|3shaper|4&^^|5|6true|7|8|9|10|11whenever you take the basic action to draw cards, increase the number of cards you draw by &^.|12&^^^^^|13laguna velasco district|

|1event|2|3neutral|4&^|5|6|7|8|9|10|11gain {C}^^ and draw &^ card.|12&|13process automation|

|1resource|2connection|3neutral|4&|5|6true|7|8|9|10|11{T}, {C}^: the corp trashes &^^ cards from hq at random. use this ability only if you suffered meat damage this turn.|12&|13officer frank|

|1resource|2connection|3neutral|4&|5|6true|7|8|9|10|11{T}: choose an icebreaker. until the end of the run, that icebreaker has +&^ strength for each card in your grip.|12&^^|13dean lister|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11{T}: prevent &^^ damage.|12&^^|13biometric spoofing|

|1resource|2virtual|3neutral|4&|5|6true|7|8|9|10|11{O}, forfeit an agenda: play an event from your heap, ignoring all costs.|12&|13the shadow net|

|1identity|2cyborg, g-mod|3anarch|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11the first piece of ice the corp rezzes each turn costs {C}^ more to rez.|12|13reina roja: freedom fighter|

|1event|2run, sabotage|3anarch|4&^^|5|6|7|8|9|10|11run hq or r&d.\{C}: trash the card you are accessing.|12&^^|13demolition run|

|1event|2run|3anarch|4&^^|5|6|7|8|9|10|11run archives. if successful, instead of breaching archives, you may install &^ program from your heap, ignoring all costs.|12&^^^|13retrieval run|

|1event|2double, run|3anarch|4&^^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\run a remote server. if successful, instead of breaching that server, trash all cards installed in the root of that server.|12&^^^^|13singularity|

|1event|2run|3anarch|4&^|5|6|7|8|9|10|11place {C}^^^^^^^^^ on this event, then run any server. during that run, hosted credits are considered to be in your credit pool. when the run ends, suffer &^ brain damage, which cannot be prevented.|12&|13stimhack|

|1hardware|2chip|3anarch|4&^|5|6|7|8|9|10|11{R}^\use this credit to pay for using icebreakers or for installing virus programs.|12&^^|13cyberfeeder|

|1hardware|2console|3anarch|4&^^|5|6true|7|8|9|10|11+{M}^, {R}^^\use these credits to pay for using icebreakers.\whenever there is a successful trace during a run, suffer &^ brain damage.\limit &^ console per player.|12&^^^^|13spinal modem|

|1program|2icebreaker, ai, virus|3anarch|4&^^^|5X|6|7|8&^|9|10|11{C}^^: break &^ subroutine.\x is equal to the number of hosted virus counters.\when your turn begins, you may pay {C}^ to place &^ virus counter on this program.|12&^^^|13darwin|

|1program|2virus|3anarch|4&^|5|6|7|8&^|9|10|11whenever you make a successful run on a central server, place &^ virus counter on @.\hosted virus counter: rezzed piece of ice currently being encountered has -&^ strength until the end of the encounter.|12&^|13datasucker|

|1program|2icebreaker, decoder|3anarch|4&^|5&^|6|7|8&^|9|10|11{C}^^: break up to &^^ code gate subroutines.\{C}^: +&^ strength.|12&^^^^^|13force of nature|

|1program|2virus|3anarch|4&^^^|5|6|7|8&^|9|10|11when you install this program, place &^^ virus counters on it.\hosted virus counter: trash the card you are accessing. use this ability only once per turn.|12&^^|13imp|

|1program|2virus|3anarch|4&^^^^|5|6|7|8&^|9|10|11whenever you make a successful run, place &^ virus counter on @.\{O}, &^^ hosted virus counters: the corp trashes &^ card from hq.|12&^^^|13hemorrhage|

|1program|2icebreaker, killer|3anarch|4&^|5&^^^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.|12&^^^|13mimic|

|1program|2icebreaker, fracter|3anarch|4&^^^^|5&^^^^^|6|7|8&^^|9|10|11{C}^: break any number of barrier subroutines.|12&^^^^^^^^|13morning star|

|1resource|2virtual|3anarch|4&^^^|5|6true|7|8|9|10|11while you are encountering a piece of ice, it gets -&^ strength.|12&^^^|13ice carver|

|1resource|2|3anarch|4&^^|5|6|7|8|9|10|11when you install this resource, load {C}^^^^^^ onto it. when it is empty, trash it.\{O}: take {C}^^^^ from this resource.|12&^^^^^^|13liberated account|

|1resource|2connection, seedy|3anarch|4&^|5|6|7|8|9|10|11{R}^^ \you can spend hosted credits to pay trash costs.|12&^^|13scrubber|

|1resource|2virtual|3anarch|4&^^|5|6true|7|8|9|10|11the rez cost of each piece of ice is increased by {C}^.|12&^^^|13xanadu|

|1identity|2cyborg|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time you make a successful run on hq each turn, gain {C}^^.|12|13gabriel santiago: consummate professional|

|1event|2job|3criminal|4&^|5|6|7|8|9|10|11gain {C}^^^.|12&|13easy mark|

|1event|2sabotage|3criminal|4&^^|5|6|7|8|9|10|11play only if you made a successful run on hq this turn.\derez &^ installed piece of ice.|12&|13emergency shutdown|

|1event|2sabotage|3criminal|4&^^|5|6|7|8|9|10|11choose &^ unrezzed piece of ice. the corp may rez that ice. if they do not, they trash it.|12&^|13forged activation orders|

|1event|2run|3criminal|4&^^^|5|6|7|8|9|10|11run any server. the first time this run you encounter a piece of ice, bypass it.|12&^^|13inside job|

|1event|2|3criminal|4&^^|5|6|7|8|9|10|11search your stack for an icebreaker, reveal it, and add it to your grip. shuffle your stack.|12&^|13special order|

|1hardware|2console|3criminal|4&^^|5|6true|7|8|9|10|11+{M}^\once per turn, you may immediately make another run when a successful run ends.\limit &^ console per player.|12&^^^|13doppelgänger|

|1hardware|2|3criminal|4&^^|5|6|7|8|9|10|11whenever you breach hq, access &^ additional card.|12&^^^^|13hq interface|

|1program|2icebreaker, fracter|3criminal|4&^|5&^|6|7|8&^|9|10|11{C}^^: break &^ barrier subroutine.\{C}^^: +&^^^ strength.|12&^^^|13aurora|

|1program|2icebreaker, killer|3criminal|4&^^^|5&^^|6|7|8&^|9|10|11{C}: break &^ sentry subroutine.\{C}^: +&^ strength.\whenever an encounter ends, if you used this program to break a subroutine during that encounter, trash this program.|12&|13faerie|

|1program|2icebreaker, killer|3criminal|4&^|5&^^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^: +&^ strength.\when you install this program, choose &^ installed piece of ice.\whenever you encounter the chosen ice, you may pay {C}^ for each subroutine it has. if you do, bypass that ice.|12&^^^^^^^^^|13femme fatale|

|1program|2icebreaker, decoder|3criminal|4&^^|5&^^|6|7|8&^|9|10|11{C}^^: break &^ code gate subroutine.\{C}^^: +&^^^ strength.|12&^^^|13peacock|

|1program|2virus|3criminal|4&^^|5|6|7|8&^|9|10|11{R}X\use these credits during runs on hq. x is the number of virus counters on @.\whenever you make a successful run on hq, place &^ virus counter on @.|12&^^|13pheromones|

|1program|2|3criminal|4&^^^|5|6|7|8&^^|9|10|11{O}: run archives. if that run would be declared successful, change the attacked server to hq for the remainder of that run.|12&^^^^|13sneakdoor beta|

|1resource|2job|3criminal|4&^^|5|6|7|8|9|10|11when you install this resource, load {C}^^^^^^^^ on it. when it is empty, trash it.\whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.|12&^|13bank job|

|1resource|2location|3criminal|4&^^|5|6|7|8|9|10|11{R}^^\use these credits to pay for removing tags.\{T}: prevent up to &^^^ meat damage.|12&^^|13crash space|

|1resource|2connection|3criminal|4&^|5|6|7|8|9|10|11{T}: prevent another installed resource from being trashed.\{T}: gain {C}^^.|12&|13fall guy|

|1resource|2connection|3criminal|4&^^|5|6true|7|8|9|10|11{O}: draw &^^ cards. when you do, add &^ of those cards to the bottom of your stack.|12&^^^|13mr. li|

|1identity|2g-mod|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1040|11+{M}^|12|13chaos theory: wünderkind|

|1event|2|3shaper|4&^^|5|6|7|8|9|10|11draw &^^^ cards.|12&|13diesel|

|1event|2run|3shaper|4&^^^|5|6|7|8|9|10|11run r&d. if successful, instead of breaching r&d, you may look at the top &^^^^^ cards of r&d and arrange them in any order.|12&|13indexing|

|1event|2mod|3shaper|4&^^|5|6|7|8|9|10|11install a program or piece of hardware, lowering the install cost by &^^^.|12&|13modded|

|1event|2|3shaper|4&^|5|6|7|8|9|10|11play only if you made a successful run on r&d, hq, and archives this turn.\add @ to your score area as an agenda worth &^ agenda point.|12&^|13notoriety|

|1event|2|3shaper|4&^^^|5|6|7|8|9|10|11search either your stack or your heap for &^ program.  install that program, ignoring all costs. when your turn ends, if that program has not been uninstalled, add it to the top of your stack.|12&^^^|13test run|

|1event|2run|3shaper|4&^^|5|6|7|8|9|10|11run r&d. if successful, access &^^ additional cards when you breach r&d.|12&^^|13the maker's eye|

|1event|2mod|3shaper|4&^^^^|5|6|7|8|9|10|11choose a piece of ice. that ice gains sentry, code gate, and barrier until the end of the turn.|12&|13tinkering|

|1hardware|2console|3shaper|4&^^|5|6true|7|8|9|10|11@ can host a single non-ai icebreaker. the memory cost of the hosted icebreaker does not count against your memory limit.\hosted icebreaker has +&^^ strength.\limit &^ console per player.|12&^^^^^|13dinosaurus|

|1hardware|2link|3shaper|4&^|5|6|7|8|9|10|11+{L}^\when @ is installed, you may search your stack for another copy of @ and install it by paying its install cost. shuffle your stack.|12&^^|13rabbit hole|

|1hardware|2mod|3shaper|4&^^|5|6|7|8|9|10|11install @ only on an icebreaker.\host icebreaker has +&^ strength.|12&^^|13the personal touch|

|1program|2icebreaker, fracter|3shaper|4&^^|5&^^^|6|7|8&^^|9|10|11{C}^^: break up to &^^ barrier subroutines.\{C}^: +&^ strength for the remainder of this run.|12&^^^^^|13battering ram|

|1program|2icebreaker, decoder|3shaper|4&^^^|5&^^|6|7|8&^|9|10|11{C}^: break &^ code gate subroutine.\{C}^: +&^ strength for the remainder of this run.|12&^^^^|13gordian blade|

|1program|2|3shaper|4&^^|5|6|7|8&^^|9|10|11{O}: gain {C}^^.|12&^^^^^|13magnum opus|

|1program|2icebreaker, killer|3shaper|4&^|5&^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^: +&^ strength for the remainder of this run.|12&^^^|13pipeline|

|1resource|2connection, location|3shaper|4&^^|5|6true|7|8|9|10|11when your turn begins, you may trash &^ of your other installed cards. if you do, gain {C}^^^.|12&^|13aesop's pawnshop|

|1resource|2|3shaper|4&^^|5|6|7|8|9|10|11{O}, {T}: gain {O}{O}.|12&|13all-nighter|

|1resource|2remote|3shaper|4&^|5|6|7|8|9|10|11{T}: prevent an installed program or an installed piece of hardware from being trashed.|12&|13sacrificial construct|

|1event|2|3neutral|4&|5|6|7|8|9|10|11gain {C}^^ or expose &^ card.|12&|13infiltration|

|1event|2|3neutral|4&|5|6|7|8|9|10|11gain {C}^^^^^^^^^.|12&^^^^^|13sure gamble|

|1hardware|2chip, link|3neutral|4&|5|6|7|8|9|10|11+{M}^, +{L}^|12&^^^|13dyson mem chip|

|1program|2icebreaker, ai, virus|3neutral|4&|5&|6|7|8&^|9|10|11{C}^: break &^ subroutine.\{C}^: +&^ strength.\{O}: place &^ virus counter on this program.\whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove &^ hosted virus counter or trash this program.|12&^^^^^|13crypsis|

|1resource|2job|3neutral|4&|5|6|7|8|9|10|11place {C}^^ from the bank on @ when it is installed. when there are no credits left on @, trash it.\{O}: take {C}^^ from @.|12&^|13armitage codebusting|

|1resource|2connection|3neutral|4&|5|6|7|8|9|10|11when your turn begins, gain {C}^ if you have at least {L}^^.|12&^^|13underworld contact|

|1event|2priority, sabotage|3anarch|4&^^^^^|5|6|7|8|9|10|11play only as your first {O}.\for the remainder of the turn, whenever you access a card not in archives, trash it and suffer &^ meat damage.|12&^^|13by any means|

|1program|2icebreaker, fracter, virus|3anarch|4&^^|5&^^^|6|7|8&^^|9|10|11whenever you make a successful run, you may place &^ virus counter on this program.\any virus counter: break &^ barrier subroutine.\any virus counter: +&^ strength.|12&^|13yusuf|
